Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
614027,3102126,100859753,PERMIT - EASY PERMIT PROCESS,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,130.0,LEAMINGTON AVE,,PLUMBING ONLY : CORRECT PLUMBING VIOLATIONS INCLUDING ROD OUT AREA DRAINS. FIX LEAK IN BASEMENT AND GET RID OF ODORS.; SUBJECT TO FIELD INSPECTIONS..WORK IS IN BASEMENT ONLY.,0.0,150.0,251800.0,28.0,1141988.355035861,1900398.6116955408,2020,2,4,0,1
614175,3102488,100859924,PERMIT - EASY PERMIT PROCESS,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,1107.0,CHESTNUT ST,,"REVISION TO PERMIT#100833016 FOR ALTERNATIVE PVC FOR DRAINAGE,VENT PIPEBELOGRADE AND EXTERIOR PLUMBING.",0.0,75.0,842300.0,27.0,1168758.835505934,1906252.4270874187,2020,1,27,0,1
614180,3102507,100859931,PERMIT - EASY PERMIT PROCESS,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,1113.0,CHESTNUT ST,,"REVISION TO PERMIT#100833040 FOR ALTERNATIVE PVC PLUMBINGDRAINAGE,VENT PIPE,BELOW GRADE AND EXTERIOR PLUMBING.",0.0,75.0,842300.0,27.0,1168690.2938160696,1906250.111348273,2020,1,27,0,1
614208,3102570,100859964,PERMIT - EASY PERMIT PROCESS,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,6050.0,MELROSE ST,,"FLOOD CONTROL AND DRAIN TILE, BUILD BASIN BLOCK BY BLOCK AND INSTALL A BACKWATER VALVE WITH EJECTOR PUMP AND PIT; INSTALL DRAIN TILE AND WAFFLE BOARD",0.0,375.0,171100.0,30.0,1135269.53062429,1921013.8623327664,2020,1,27,0,1
614231,3102640,100859991,PERMIT - RENOVATION/ALTERATION,2020-03-25T00:00:00.000,2020-03-25T00:00:00.000,6201.0,KIRKWOOD AVE,,SELF CERT: CONSTRUCTED NEW DORMER TO MATCH THE EXISTING DORMER TO IMPROVE ROOF DRAINAGE. **NO HABITABLE SPACE ALLOWED**  IV-A CONSTRUCTION ON A III-B TWO STORY PLUS BASEMENT SINGLE FAMILY RESIDENCE. RS-1 ZONING DISTRICT FOR A RESIDENTIAL USE. **NO ELECTRICAL WORK**,0.0,1425.0,120300.0,39.0,1145380.5062280346,1940883.228043865,2020,3,25,0,1
614389,3102892,100860168,PERMIT - EASY PERMIT PROCESS,2020-01-28T00:00:00.000,2020-01-28T00:00:00.000,617.0,61ST PL,,"PLUMBING ONLY: REPAIR PVC, DRAIN, WASTE & VENT TO ACCOMMODATE FOR ADA BATHROOM. SUBJECT TO FIELD INSPECTIONS",0.0,150.0,834800.0,16.0,1173140.3964482374,1864072.1090355185,2020,1,28,0,1
614400,3102917,100860181,PERMIT - EASY PERMIT PROCESS,2020-01-28T00:00:00.000,2020-01-28T00:00:00.000,8115.0,BLACKSTONE AVE,,REVISION TO PERMIT#100843944 ALT. CODE APPROVAL:USE SCHEDULE 40 PVC FOR UNDERGROUND DRAIN AND VENT IN LIEU OF CAST IRON PIPE.,0.0,75.0,834300.0,8.0,1187616.042047025,1851398.9525847984,2020,1,28,0,1
614408,3102932,100860190,PERMIT - EASY PERMIT PROCESS,2020-01-28T00:00:00.000,2020-01-28T00:00:00.000,4241.0,HALSTED ST,,"REVISION TO PERMIT#100842256 ALT. CODE APPROVAL: 4""SCH 40 PVC FOR UNDERGROUND DRAINS AND 2"" VENT LINES.",0.0,75.0,842600.0,11.0,1171726.23617773,1876405.5363402471,2020,1,28,0,1
614558,3103240,100860367,PERMIT - EASY PERMIT PROCESS,2020-01-29T00:00:00.000,2020-01-29T00:00:00.000,1255.0,SANDBURG TER,,"REPLACE DRAINS IN POOL DECK SAME LOCATION USING APPROVED MATERIALS,AND TERRANCE RESTORATION.",0.0,300.0,80202.0,2.0,1175161.1750490903,1908956.1161630969,2020,1,29,0,1
614614,3103361,100860430,PERMIT - EASY PERMIT PROCESS,2020-01-29T00:00:00.000,2020-01-29T00:00:00.000,6701.0,UNION AVE,,REVISION TO PERMIT#100854785 ALT. CODE APPROVAL:DRAINAGE AND VENT PIPE AND PIPE FITTINGS. USE SCHEDULE 40 PVC.,0.0,75.0,681200.0,6.0,1172933.2981346613,1860423.0683738596,2020,1,29,0,1
614635,3103405,100860453,PERMIT - EASY PERMIT PROCESS,2020-01-29T00:00:00.000,2020-01-29T00:00:00.000,3752.0,HONORE ST,,REVISION TO PERMIT 100845094 ALT. CODE APPROVAL: INSTALL PVC DRAINS AND VENTS UNDERGROUND AND ABOVE GROUND FOR BASEMENT BATHROOM AND MECHANICAL ROOM.,0.0,75.0,590600.0,12.0,1164605.110960448,1879593.4998854809,2020,1,29,0,1
614719,3103550,100860554,PERMIT - EASY PERMIT PROCESS,2020-01-30T00:00:00.000,2020-01-30T00:00:00.000,2130.0,COULTER ST,,"REVISION TO PERMIT#100847230.ALTERNATIVE CODE FOR PLUMBING,DRAINAGE,VENT PIPE,ABOVE & BELOW GRADE,UNDERGROUND,DOWN SPOUTS ONLY.",0.0,75.0,841300.0,25.0,1162425.8414175834,1887950.741347048,2020,1,30,0,1
614728,3103575,100860565,PERMIT - EASY PERMIT PROCESS,2020-01-30T00:00:00.000,2020-01-30T00:00:00.000,2313.0,MONTANA ST,,REVISION TO PERMIT#100740526 CHANGE PLUMBING TO UA PLUMBING INC AND CHANGE HVAC TO AIR CENTER INC. ALT. CODE APPROVAL : USE SCHEDULE 40 PVC PIPES AND FITTINGS FOR UNDERGROUND DRAIN AND VENT LINES.,0.0,150.0,830900.0,32.0,1160441.0417606563,1916136.001195482,2020,1,30,0,1
614897,3104115,100860793,PERMIT - EASY PERMIT PROCESS,2020-01-31T00:00:00.000,2020-01-31T00:00:00.000,2605.0,58TH ST,,PLUMBING ONLY: REPAIR ALL SIX INCH UNDERGROUND PLUMBING AND RECONNECT EXISTING DRAINS AS FLOOR DRAINS IN BASEMENT ONLY - UNDERGROUND PIPING ONLY WILL BE COVERED,0.0,150.0,835100.0,16.0,1159965.4589523857,1866067.4303097776,2020,1,31,0,1
