Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood,is_green
327686,2514190,100514829,PERMIT - RENOVATION/ALTERATION,2014-02-26T00:00:00.000,2014-03-31T00:00:00.000,441.0,ERIE ST,,REFINISH OF EXTERIOR CANOPY AND RENOVATION OF GROUND LEVEL NORTH ENTRY AREA (ADDITION OF PLANTERS AND SEATING)   **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **,0.0,452.0,81401.0,42.0,1179498.6694466723,1904838.2059232837,2014,03,31,0,0,1
327950,2514783,100515166,PERMIT - NEW CONSTRUCTION,2013-10-29T00:00:00.000,2013-10-29T00:00:00.000,727.0,LAKE ST,,"ERECT A SRO 61 DU BUILDING -  10 STORY CONSTRUCTION TYPE 1B - SOLAR READY FOR 6 FUTURE PANELS, 2196 SF GREEN ROOF. GREEN PERMIT PROGRAM BENEFIT TIER II. CERTIFIED CORRECTIONS. CONDITIONAL PERMIT SUBJECT TO SITE INSPECTION",0.0,8417.2,280100.0,27.0,1171177.9741036715,1901637.3954510768,2013,10,29,1,0,1
330208,2519635,100518001,PERMIT - NEW CONSTRUCTION,2014-01-08T00:00:00.000,2014-07-03T00:00:00.000,2501.0,ELSTON AVE,,"NEW CONSTRUCTION OF 3-STORY CAR DEALERSHIP TO INCLUDE A SALES AND SERVICE CENTER, AND SEPARATE CAR WASH FACILITY.**************GREEN ROOF*****************SEE SOPHIE MARTINEZ",0.0,49456.15,830900.0,32.0,1161980.5784090925,1916699.1683256663,2014,07,03,0,0,1
332289,2524225,100520566,PERMIT - EASY PERMIT PROCESS,2013-12-09T00:00:00.000,2013-12-09T00:00:00.000,515.0,RIDGEWAY AVE,,"REPAIR PLUMBING PIPES FOR WATER SUPPLY, PROVIDE CLEAN-OUT ON BSMT, REMOVE PVC FOR CAST IRON PER BUILDING VIOLATIONS, REPLACE FLOOR JOIST-SAME SIZE & LOCATION. PROVIDE ONE HR RATING ON HEAT PLANT W/ DRYWALL (5/8"")",0.0,400.0,231500.0,27.0,1151333.5012887071,1903249.9606711543,2013,12,09,0,0,1
332414,2524512,100520723,PERMIT - RENOVATION/ALTERATION,2014-07-15T00:00:00.000,2014-07-15T00:00:00.000,6233.0,FOREST GLEN AVE,,REMOVAL OF EXISITNG FRONT PORCH AND REPLACING IT WITH NEW ONE AND WITH THE ADDITION OF PLANTERS AND MASONRY PLANTERS PER PLANS.,0.0,350.0,120300.0,39.0,1145828.1374263098,1940976.8348748004,2014,07,15,0,0,1
333220,2526331,100521731,PERMIT - RENOVATION/ALTERATION,2013-12-18T00:00:00.000,2013-12-18T00:00:00.000,30.0,MONROE ST,,"INSTALL 2,048 SF GREEN ROOF ON EXISTING OFFICE BUILDING (INLAND STEEL) PER PLAN.",0.0,387.32,839100.0,42.0,1176080.7758131318,1899954.8317650815,2013,12,18,0,0,1
334545,2529616,100523404,PERMIT - NEW CONSTRUCTION,2014-01-09T00:00:00.000,2015-03-31T00:00:00.000,355.0,WACKER DR,,GEMS PHASE II - FOUNDATION SYSTEMS ONLY FOR PROPOSED 13-STORY GRADE 5 - 12 SCHOOL WITH GREEN ROOF,0.0,8226.35,320100.0,42.0,1178967.2835798396,1902396.593079227,2015,03,31,0,0,1
335459,2531763,100524462,PERMIT - NEW CONSTRUCTION,2014-01-17T00:00:00.000,2014-01-17T00:00:00.000,1900.0,JACKSON BLVD,,"ERECT 8 STORY MALCOLM X COLLEGE & SCHOOL OF HEALTH SCIENCES BUILDING WITH 48,315 SF GREEN ROOF",0.0,93567.39,838100.0,2.0,1163746.5872779698,1898680.87744184,2014,01,17,0,0,1
336418,2534275,100525682,PERMIT - RENOVATION/ALTERATION,2014-01-30T00:00:00.000,2014-02-04T00:00:00.000,445.0,ILLINOIS ST,,"PHASE I CORE INFRASTRUCTURE PERMIT WITH BUILD-OUT OF EXISTING COMMERCIAL SLIP FLR, 1ST FLR & ROOF - SELECTIVE DEMOLITION OF MEP ROUGH-INS, RISERS, SHAFTS, ROOFTOP UNITS, ROOF REPLACEMENT, GREEN ROOF INSTALLATION, ROOF DECK STRUCTURE AND INTERIOR DEMOLITION OF STRUCTURAL AND NON-STRUCTURAL ITEMS. NO CHANGE IN OCCUPANCY UNDER THIS PERMIT.",0.0,39865.74,81402.0,42.0,1179564.233590589,1903676.6278159453,2014,02,04,0,0,1
337373,2536608,B100526848,PERMIT – EXPRESS PERMIT PROGRAM,2014-02-07T00:00:00.000,2014-02-07T00:00:00.000,600.0,KINZIE ST,Monthly Maintenance Permit,REQUIRED MAINTENANCE ON ELECTRICAL EQUIPMENT AT THE CHOCOLATE FACTORY PLANT; - WIRE NEW RE-MELT TANKS FOR DROPS;,0.0,250.0,243600.0,27.0,1172231.085536217,1902955.411466567,2014,02,07,0,0,1
337580,2537077,100527092,PERMIT - RENOVATION/ALTERATION,2014-04-30T00:00:00.000,2014-07-11T00:00:00.000,4332.0,PAULINA ST,,"DEMOLISH EXISTING ASPHALT COVERED PARKING AND PLAYGROUND, REMOVE ALL EXISTING INTERIOR FENCING, PLAY EQUIPMENT AND SURFACES, AND DISCONNECT (6) EXISTING DOWNSPOUTS.  INSTALL NEW PERMEABLE PARKING LOT, PERMEABLE RUBBER SURFACE PLAY AREAS, NEW ARTIFICIAL TURF, SEATING AREAS, NEW SITE LIGHTING, DRINKING FOUNTAIN, VARIOUS GARDENS AND PLANTED AREAS, NEW RAIN WATER COLLECTION BARRELS, AND NEW PLAY EQUIPMENT ALL PER PLANS AND SPECIFICATIONS.",725.0,725.0,60200.0,47.0,1164402.8265782082,1928980.278107846,2014,07,11,0,1,1
338070,2538277,100527725,PERMIT - RENOVATION/ALTERATION,2014-03-26T00:00:00.000,2014-12-02T00:00:00.000,3839.0,SHEFFIELD AVE,,"5-STORY ADDITION TO EXISTING SELF-STORAGE FACILITY AND ACCESSIBILITY IMPROVEMENTS TO EXISTING BUILDING WITH 2,348 SF GREEN ROOF.**** GREEN ROOF - SEE SOPHIE MARTINEZ*************",0.0,11067.2,832100.0,44.0,1168949.3845293396,1925942.8629745864,2014,12,02,0,0,1
339025,2540472,100528900,PERMIT - RENOVATION/ALTERATION,2014-03-07T00:00:00.000,2014-07-22T00:00:00.000,215.0,WASHINGTON ST,,"INTERIOR RENOVATION OF LEASING OFFICE, RELOCATION OF ELECTRICAL OUTLETS, REPLACEMENT OF EXTERIOR SIDEWALK AND NEW LANDSCAPE PLANTERS, RE-CLADDING OF EXISTING CANOPY.",0.0,982.0,839100.0,42.0,1174597.8796855237,1900766.8908013385,2014,07,22,0,0,1
339282,2541014,100529198,PERMIT - RENOVATION/ALTERATION,2014-02-27T00:00:00.000,2014-02-27T00:00:00.000,1240.0,DAMEN AVE,,"PARTIAL RENOVATION (2,550 SF) OF EXISTING CHILDREN'S ADVOCACY CENTER BUILDING WITH TWO-STORY ADDITION (18,855 SF ), ONE-STORY ADDITION (380 SF) AND 1602 SF GREEN ROOF GREEN PERMIT",0.0,13282.05,842900.0,2.0,1163200.5647627967,1894246.9913685503,2014,02,27,0,0,1
339375,2541187,100529300,PERMIT - NEW CONSTRUCTION,2014-02-27T00:00:00.000,2014-02-27T00:00:00.000,1929.0,WILSON AVE,,PHASE I OF LYCEE FRACAIS SCHOOL - ERECT 4-STORY SCHOOL BUILDING TO INCLUDE INSTALLATION OF NEW SOCCER FIELD AND ASSOCIATED SITE WORK AS PER PLANS. GREEN ROOF 8082 SF. CERTIFIED CORRECTIONS - CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION,0.0,13822.06,830800.0,47.0,1162671.494554239,1930523.8276297865,2014,02,27,0,0,1
341702,2546537,100532173,PERMIT - RENOVATION/ALTERATION,2014-05-21T00:00:00.000,2014-05-21T00:00:00.000,1600.0,PRAIRIE AVE,,RENOVATE EXISTING ROOFTOP DECK ON THE SIXTH FLOOR OF A 24 STORY TYPE I CONSTRUCTION CONDOMINIUM BUILDING.  REMOVE WHIRLPOOL SPA AND REPLACE WITH OUTDOOR FIRE PIT.  CONSTRUCT NON-COMBUSTIBLE PERGOLA AND LANDSCAPE PLANTING BEDS PER PLAN.,0.0,1103.78,330100.0,2.0,1178302.8846053933,1892441.1885196983,2014,05,21,0,0,1
343665,2550494,B100534554,PERMIT – EXPRESS PERMIT PROGRAM,2014-04-07T00:00:00.000,2014-04-07T00:00:00.000,600.0,KINZIE ST,Monthly Maintenance Permit,REQUIRED PM ON ELECTRICAL EQUIPMENT IN THE CHOCOLATE FACTORY PLANT; - WIRE NEW FLOW METER FOR LIQUOR GRINDING SYSTEM; - WIRE NEW FLOW METER FOR COCOA BUTTER SYSTEM; - WIRE NEW TEMPERATURE SENSORS AND VALVES FOR TEMPERATURE CONTROLS ON STORAGE TANKS;,0.0,500.0,243600.0,27.0,1172231.085536217,1902955.411466567,2014,04,07,0,0,1
344069,2551366,100535026,PERMIT - RENOVATION/ALTERATION,2014-08-07T00:00:00.000,2014-11-14T00:00:00.000,1311.0,WICKER PARK AVE,,"ADDITION OF THREE FLOORS OF RESIDENTIAL TYPE III-B CONSTRUCTION TO AN EXISTING SINGLE-STORY COMMERCIAL MASONRY BUILDING OF TYPE III-B CONSTRUCTION. 3 DWELLING UNITS, INCLUDES GREEN ROOF 520 SF",0.0,1846.75,241400.0,1.0,1164162.976393275,1909077.7940043784,2014,11,14,0,0,1
344423,2552197,100535442,PERMIT - EASY PERMIT PROCESS,2014-04-11T00:00:00.000,2014-04-11T00:00:00.000,4099.0,71ST ST,,"REPLACE THE EXISTING CARRIER 40 TON ROOFTOP UNIT WITH A NEW CARRIER 40 TON ROOFTOP UNIT, SELF CONTAINED, AIR COOLLED, R410A. THE UNIT SERVES THE PILOT PLANT.",0.0,200.0,650500.0,13.0,1150286.5885921242,1857202.020818211,2014,04,11,0,0,1
344440,2552239,B100535460,PERMIT – EXPRESS PERMIT PROGRAM,2014-04-11T00:00:00.000,2014-04-11T00:00:00.000,1200.0,LAKE SHORE DR,Electrical Work,"INSTALL NEW DC POWER PLANT, AT&T EQUIPMENT AND COAX CABLE.  NEW EQUIPMENT WILL BE POWERED BY AN EXISTING POWER PANEL.",0.0,100.0,3301.0,2.0,1178776.82744244,1895110.4546313633,2014,04,11,0,0,1
344724,2552749,100535810,PERMIT - NEW CONSTRUCTION,2014-04-14T00:00:00.000,2014-04-14T00:00:00.000,326.0,ORLEANS ST,,"FULL BUILDING PERMIT - ERECT A 509 UNIT APARTMENT TOWER WITH ATTACHED 200 CAR PARKING GARAGE. GREEN ROOF TOTAL AREA OF VEGETATION 3,067 SF[SEE PERMIT #100611985 TO INCREASE TOTAL DWELLING UNITS TO 509]",0.0,149498.29,81800.0,42.0,1173981.8180966426,1902541.7466726156,2014,04,14,0,0,1
