Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
146119,2033684,100284074,PERMIT - RENOVATION/ALTERATION,2009-03-26T00:00:00.000,2009-03-27T00:00:00.000,447.0,CLARK ST,,SOLAR PANEL INSTALLATION ON ROOFTOP OF EXISTING BUILDING. PART OF GREEN PERMIT PROGRAM PROJECT- BAYLESS FAST SERVE. CERTIFICATE OF OCCUPANCY NOT REQUIRED.,0.0,75.0,817.0,42.0,1175492.7104084322,1903522.517822628,2009,3,27,1,0
151238,2047979,B100290819,PERMIT – EXPRESS PERMIT PROGRAM,2009-05-11T00:00:00.000,2009-05-11T00:00:00.000,1802.0,BERTEAU AVE,Electrical Work,ADD 30AMP & 15 AMP FOR SOLAR PV,0.0,100.0,50100.0,47.0,1163461.3523734869,1927966.102534678,2009,5,11,1,0
152031,2050124,100291783,PERMIT - RENOVATION/ALTERATION,2009-05-15T00:00:00.000,2009-05-18T00:00:00.000,100.0,ERIE ST,,CHINESE CONSULATE SOLAR PANEL INSTALLATION.- ERECT 24 SOLAR PANELS ON EXISTING ROOFTOP.,0.0,575.0,817.0,42.0,1175397.799984214,1904796.499326365,2009,5,18,1,0
158222,2066234,B100299681,PERMIT – EXPRESS PERMIT PROGRAM,2009-07-06T00:00:00.000,2009-07-07T00:00:00.000,1685.0,THROOP ST,Electrical Work,INSTALL 20A CIRCUIT FOR BATTERY CHARGER. INSTALL 20A- 208U CIRCUIT FOR SOLAR PANEL.,0.0,100.0,240100.0,32.0,1167224.6147226917,1911824.3512454345,2009,7,7,1,0
164380,2081236,100307635,PERMIT - EASY PERMIT PROCESS,2009-08-25T00:00:00.000,2009-08-25T00:00:00.000,1250.0,MORSE AVE,,REMOVE ONE LAYER OF ROOF MEMBRANE AND ADD ON NEW. SOLAR REFLECTION WILL BE 81% AFTER 3 YEARS. NO STRUCTURAL WORK. SUBJECT TO FIELD INSPECTION.,0.0,375.0,105.0,49.0,1166280.4651314688,1946238.2394059848,2009,8,25,1,0
165691,2084775,B100309260,PERMIT – EXPRESS PERMIT PROGRAM,2009-09-04T00:00:00.000,2009-09-04T00:00:00.000,2512.0,PATTERSON AVE,Electrical Work,"INSTALL TWO 120V, 20A CIRCUITS AS REQUIRED FOR CONNECTION TO SOLAR PV PANELS IN GRID INTERTIED SYSTEM",0.0,100.0,50400.0,47.0,1158975.4372682443,1924193.8233888887,2009,9,4,1,0
165844,2085049,100309454,PERMIT - RENOVATION/ALTERATION,2009-09-10T00:00:00.000,2009-11-05T00:00:00.000,2241.0,LEAVITT ST,,"GREEN RENOVATION.  DECONVERT (2) STORY, (3) D.U. BUILDING AND OFFICE INTO SINGLE FAMILY HOME.  ERECT ROOFTOP STAIR ENCLOSURE, TRELLISES, SOLAR-THERMAL PANELS AND GREEN ROOF PER PLANS.  GREEN PERMIT PROGRAM, BENEFIT TIER II.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION DUE TO SELF CERTIFIED STATUS.",819.0,944.0,2217.0,32.0,1161359.8231445206,1915037.4826229576,2009,11,5,1,0
168460,2091604,100312766,PERMIT - EASY PERMIT PROCESS,2009-09-29T00:00:00.000,2009-09-29T00:00:00.000,3813.0,WILTON AVE,,REPAIR FLAT ROOF AND SIDING. REPAIR SOLAR SEAL CAULKING.,0.0,175.0,607.0,44.0,1169286.8022451638,1925676.9069353333,2009,9,29,1,0
169002,2092782,100313522,PERMIT - NEW CONSTRUCTION,2009-11-18T00:00:00.000,2010-08-25T00:00:00.000,1404.0,OHIO ST,,"NEW CONSTRUCTION OF A (3) STORY MODULAR SINGLE FAMILY RESIDENCE.  SCOPE OF WORK INCLUDES (1) ARRAY OF (2) SOLAR THERMAL PANELS ON ROOF, (4) ARRAYS OF (4) PHOTOVOLTAIC PANELS ON ROOF FOR A TOTAL OF (16) PV PANELS, (540) S.F. GREEN ROOF, (6) RAIN BARRELS FOR IRRIGATION ONLY, AND DETACHED (2) CAR GARAGE.  GREEN PERMIT PROGRAM BENEFIT TIER II (CHICAGO GREEN HOMES 3 STARS RATING).",1000.0,1225.0,2433.0,27.0,1166886.2988945553,1904165.6433777185,2010,8,25,1,1
171326,2113070,100316656,PERMIT - WRECKING/DEMOLITION,2009-10-21T00:00:00.000,2009-10-23T00:00:00.000,3148.0,KEDZIE AVE,,WRECK & REMOVE 1 1/2 BRICK & FRAME SOLAR HOUSE,300.0,300.0,3020.0,22.0,1155497.419554023,1883384.5323176356,2009,10,23,1,0
171612,2113850,100317044,PERMIT - EASY PERMIT PROCESS,2009-10-23T00:00:00.000,2009-10-23T00:00:00.000,1400.0,ASTOR ST,,"REPLACE BROKEN AND CRACKED SLATE TILE ON ROOF IN-KIND WITH SLATE, RECAULK THE FLASHING WHERE NEEDED RITH SOLAR SEAL #900. NO CHANGE TO ROOFLINE, NO STRUCTURAL WORK.",0.0,175.0,801.0,43.0,1176325.342820577,1909818.5633710516,2009,10,23,1,0
