NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 318; Cook County; Illinois,82313,61182,241,1765,412800,1469,113,1321,1765,1042,53,1,156,0,207,306,339,1366,65,123,22,125,36,557,277,51,69,17,031,031800,17031031800,0.13654390934844193,0.08554125662376987,0.5903682719546742,0.03002832861189802,0.08838526912181303,0.19206798866855523,0.698389458272328,0.03001464128843334
Census Tract 319; Cook County; Illinois,94107,72923,106,2489,465900,1560,52,1881,2489,1873,154,11,115,0,166,170,363,1943,80,50,82,133,60,880,417,43,74,17,031,031900,17031031900,0.04258738449176376,0.02764486975013291,0.7525110486139012,0.06187223784652471,0.046203294495781436,0.14584170349537967,0.7277406073082862,0.0638188368502316
Census Tract 321; Cook County; Illinois,72515,54197,1152,7255,287700,1261,386,5401,7442,4088,1131,71,795,0,724,633,1719,6234,723,29,395,452,313,2279,1330,207,0,17,031,032100,17031032100,0.1587870434183322,0.07146824662099611,0.5493147003493685,0.15197527546358505,0.10682612201021231,0.23098629400698736,0.6121270452358036,0.0811677895412255
Census Tract 401; Cook County; Illinois,90952,80821,150,3818,619200,1464,97,2433,3987,2448,443,73,182,14,292,535,699,2985,286,22,80,249,173,1141,569,159,126,17,031,040100,17031040100,0.0392875851231011,0.03986847513357994,0.6139954853273137,0.1111111111111111,0.045648357160772514,0.17531978931527464,0.6683417085427136,0.06030150753768848
Census Tract 402.01; Cook County; Illinois,104484,54354,641,7060,464100,1440,252,4837,7083,5222,228,22,354,0,522,735,963,5308,472,49,256,538,130,2283,1141,181,135,17,031,040201,17031040201,0.09079320113314447,0.05209840810419682,0.7372582239164196,0.03218975010588734,0.049978822532825075,0.13595933926302414,0.7045968349660889,0.02317256970610404
Census Tract 402.02; Cook County; Illinois,67832,35301,1095,7019,283500,1477,276,3973,7198,2868,361,62,1295,0,788,1824,2217,5016,832,136,108,321,286,1686,885,80,45,17,031,040202,17031040202,0.15600512893574583,0.06946891517744777,0.3984440122256182,0.050152820227841066,0.17991108641289247,0.3080022228396777,0.5374800637958532,0.126993620414673
Census Tract 403; Cook County; Illinois,78879,57698,181,2894,501300,1603,156,1681,2991,1459,96,10,699,0,235,492,643,2162,228,120,19,184,160,828,204,202,67,17,031,040300,17031040300,0.06254319281271596,0.09280190362879238,0.48779672350384484,0.0320962888665998,0.2337011033099298,0.21497826813774656,0.6017576318223867,0.06938020351526364
Census Tract 404.01; Cook County; Illinois,108899,64792,248,3441,445900,1913,97,2072,3441,2405,110,0,332,0,122,472,633,2583,194,84,133,223,92,794,751,62,35,17,031,040401,17031040401,0.07207207207207207,0.04681467181467181,0.6989247311827957,0.03196745132229003,0.0964835803545481,0.1839581517000872,0.6356949283778552,0.08323654665118074
Census Tract 404.02; Cook County; Illinois,99201,78908,694,4209,335800,1729,143,3330,4209,3206,87,16,138,0,214,548,674,3621,417,12,59,268,246,1718,604,170,83,17,031,040402,17031040402,0.1648847707293894,0.042942942942942944,0.7617011166547873,0.020669992872416252,0.03278688524590164,0.16013304822998337,0.7111295222314278,0.012151339409003037
Census Tract 406; Cook County; Illinois,89091,85767,160,2521,750000,1747,35,1794,2521,1812,120,110,52,0,264,163,428,2046,105,60,60,129,50,841,538,101,64,17,031,040600,17031040600,0.0634668782229274,0.01950947603121516,0.718762395874653,0.04760015866719556,0.020626735422451407,0.16977389924633082,0.7546432062561095,0.047898338220918824
